T E_media/NP C/NP M_media/NP X/NP
3.98 -0.55920 0.00000 0.04380 0.00000
3.99 0.00000 0.00000 0.00000 0.00000
4.00 -0.54920 0.00000 0.03780 0.00000
4.01 0.00000 0.00000 0.00000 0.00000
4.02 -0.57280 0.00000 0.03380 0.00000
4.03 0.00000 0.00000 0.00000 0.00000
4.04 -0.53280 0.00000 0.01420 0.00000
4.05 0.00000 0.00000 0.00000 0.00000
4.06 -0.50400 0.00000 0.02800 0.00000
4.07 0.00000 0.00000 0.00000 0.00000
4.08 -0.55520 0.00000 0.01300 0.00000
4.09 0.00000 0.00000 0.00000 0.00000
4.10 -0.54360 0.00000 0.00280 0.00000
4.11 0.00000 0.00000 0.00000 0.00000
4.12 -0.54360 0.00000 0.02280 0.00000
4.13 0.00000 0.00000 0.00000 0.00000
4.14 -0.54480 0.00000 0.03620 0.00000
4.15 0.00000 0.00000 0.00000 0.00000
4.16 -0.53640 0.00000 0.01540 0.00000
4.17 0.00000 0.00000 0.00000 0.00000
4.18 -0.52120 0.00000 0.00180 0.00000
4.19 0.00000 0.00000 0.00000 0.00000
4.20 -0.49080 0.00000 0.00780 0.00000
4.21 0.00000 0.00000 0.00000 0.00000
4.22 -0.50280 0.00000 0.00960 0.00000
4.23 0.00000 0.00000 0.00000 0.00000
4.24 -0.52120 0.00000 0.01980 0.00000
4.25 0.00000 0.00000 0.00000 0.00000
4.26 -0.49920 0.00000 0.02740 0.00000
4.27 0.00000 0.00000 0.00000 0.00000
4.28 -0.51200 0.00000 0.01340 0.00000
4.29 0.00000 0.00000 0.00000 0.00000
4.30 -0.52400 0.00000 0.00940 0.00000
4.31 0.00000 0.00000 0.00000 0.00000
4.32 -0.49640 0.00000 0.02080 0.00000
4.33 0.00000 0.00000 0.00000 0.00000
4.34 -0.51840 0.00000 0.01060 0.00000
4.35 0.00000 0.00000 0.00000 0.00000
4.36 -0.46840 0.00000 0.00240 0.00000
4.37 0.00000 0.00000 0.00000 0.00000
4.38 -0.48440 0.00000 0.02500 0.00000
4.39 0.00000 0.00000 0.00000 0.00000
4.40 -0.45880 0.00000 0.02400 0.00000
4.41 0.00000 0.00000 0.00000 0.00000
4.42 -0.46080 0.00000 0.00180 0.00000
4.43 0.00000 0.00000 0.00000 0.00000
4.44 -0.47960 0.00000 0.01540 0.00000
4.45 0.00000 0.00000 0.00000 0.00000
4.46 -0.48000 0.00000 0.00300 0.00000
4.47 0.00000 0.00000 0.00000 0.00000
4.48 -0.48760 0.00000 0.00040 0.00000
4.49 0.00000 0.00000 0.00000 0.00000
4.50 -0.49200 0.00000 0.00860 0.00000
4.51 0.00000 0.00000 0.00000 0.00000
4.52 -0.50360 0.00000 0.03340 0.00000
4.53 0.00000 0.00000 0.00000 0.00000
4.54 -0.50200 0.00000 0.02020 0.00000
4.55 0.00000 0.00000 0.00000 0.00000
4.56 -0.48080 0.00000 0.00860 0.00000
4.57 0.00000 0.00000 0.00000 0.00000
4.58 -0.49280 0.00000 0.00640 0.00000
4.59 0.00000 0.00000 0.00000 0.00000
4.60 -0.50440 0.00000 0.01760 0.00000
4.61 0.00000 0.00000 0.00000 0.00000
4.62 -0.47520 0.00000 0.00920 0.00000
4.63 0.00000 0.00000 0.00000 0.00000
4.64 -0.47480 0.00000 0.01780 0.00000
4.65 0.00000 0.00000 0.00000 0.00000
4.66 -0.46880 0.00000 0.01000 0.00000
4.67 0.00000 0.00000 0.00000 0.00000
4.68 -0.47240 0.00000 0.01800 0.00000
4.69 0.00000 0.00000 0.00000 0.00000
4.70 -0.45360 0.00000 0.02620 0.00000
4.71 0.00000 0.00000 0.00000 0.00000
4.72 -0.45880 0.00000 0.01760 0.00000
